id,StartUp,Country,Year,ESG,E,S,G,Raised,distr_tk,Rating, platform ETHEREUM , kyc , whitelist , mvp , teamsize , duracao , retrictions USD , FIAT , EPI , GOVEF , POLEST , REGQ , EDBUS , PUBEXP , TERT , TEACHT , DOCT , RDEXP , HTECEXP , QINSTIT , SJOUR , DCRED , STOCMARK , DMED , DMEDIA , GDPC , CREDINAD , CONCTBANK , EASYL , VC , TAXPROFIT , TAX_REVEN , FISCALFRD , FINACIFRD , FOREIGINVEST , FOREIGDP , INTERPAY , percmath , GINI , MAKTEFF , PERCTECH , DEVCOUNT 
3177,XRED,United Kingdom,0,0,0,0,0,0,0.86,3,0,0,0,0,7,44,0,0,81.3,1.398906,76.1,1.777152,83.2,5.238900185,61.38288879,161144.9639,1.001019955,1.70274,22.31955772,6.33368735,97680.9,132.6118914,116.4857,1,1,43646.95197,1.07263,48.65972,4.429107189,4.408193111,17.3,33.21909638,53.5,80,81158909779,2.840389193,6.702680056,13.56267,34.8,5.344177416,3.61913,1
3178,YOUnited,Singapore,0,0,0,0,0,600000,0.7,3,1,1,1,1,0,153,0,0,58.1,2.230585,97.1,2.126329,85.6,2.645090103,88.88645172,14402,0,1.92465,51.56363888,5.666472435,11458.63,118.0666303,182.7901,1,1,66679.04649,1.30952,67.17964,5.453181267,4.680789471,1.7,33.27790842,80,80,83110792594,22.10501951,0.000791316,5.311,0,5.775368547,8.57863,1
3179,Zeto,Ireland,0,0,0,0,0,0,0.195,3,1,1,0,0,16,25,1,0,72.8,-0.2,85.9,1.627818,79.58999,3.383090019,77.28288269,12609,0.987839997,1.14647,24.81871688,5.35591718,7174.11,40.82562204,28.53983,1,1,79068.97461,5.72964,89.07185,3.437249899,3.319450855,12.4,41.68842317,80.8,70,67361732390,17.45271328,6.894039481,7.97558,30.6,5.429029752,6.97806,1
3180,Zimrii,Australia,0,0,0,0,0,0,0.65,3,1,0,0,0,11,25,0,0,74.9,-0.5,89.3,1.902706,80.8,5.107890129,107.8080521,50613,1.136630058,1.87466,18.17692094,5.67698979,53610.22,139.9593388,88.13015,1,1,57180.7794,0.901855,89.30564,5.009389877,3.551865101,26,65.17179672,84.3,90,61526702742,4.293915221,3.677487188,4.99704,34.3,4.824902458,4.55892,1
3182,4NEW,United Kingdom,0,0,0,0,0,42100000,0.75,3.7,0,1,0,0,13,70,0,0,81.3,1.398906,76.1,1.777152,83.2,5.238900185,61.38288879,161144.9639,1.001019955,1.70274,22.31955772,6.33368735,97680.9,132.6118914,116.4857,1,1,43646.95197,1.07263,48.65972,4.429107189,4.408193111,17.3,33.21909638,53.5,80,81158909779,2.840389193,6.702680056,13.56267,34.8,5.344177416,3.61913,1
3183,A2B Taxi,Lithuania,0,0,0,0,0,1500000,0.5,3.3,1,1,1,0,14,115,0,1,62.9,0,87,1.101966,80.6,3.894959927,73.7303009,11426,0.624520004,0.94181,12.10092546,4.539711475,2267.3,40.37367799,9.3,1,0,19176.81215,2.27015,80.38381,4.087507248,3.033166647,5.9,16.83182927,96.7,70,1299841764,2.420713014,3.476570665,4.26941,35.7,4.642995349,3.11263,1
3184,Aceh Coin,Indonesia,2019,0,0,0,0,0,0.006,2.9,0,1,1,0,3,66,1,0,37.8,0.7,51.8,-0.1469696,68.184,3,36.31103897,294820,0.050170001,0.22633,8.212824218,4.412192345,26947.57,38.80544967,46.70241,0,0,3893.859578,2.29208,24.84837,4.491299152,3.822782755,18.1,38.59531784,89.4,60,18909826044,1.814289797,11.73045987,3.29048,37.8,4.402691473,8.25906,0
3185,Acomobase,Cyprus,0,0,0,0,0,0,0.4,3.4,0,0,0,0,8,120,0,0,64.8,1.4,77,0.8727556,72.77735,5.754169941,81.33708191,3276,0.754980028,0.54783,19.87383673,4.15468252,1245.42,136.5546154,13.09172,1,1,29334.11093,19.5205,63.93546,2.875291824,2.522010565,8.1,23.93794138,79.3,60,-6354839227,-25.1081979,5.985149985,2.52487,32.7,4.703249436,2.56859,1
3186,Ad Funnel,Malaysia,0,0,0,0,0,0,0.6,2.9,0,0,0,0,7,121,0,0,47.9,-0.2,65.4,0.698876,81.33541,4.479599953,45.1253891,89839,0.264580011,1.04086,53.26966951,5.15525772,23661.33,120.2762816,110.9568,1,0,11380.08209,1.4842,69.58697,4.710587978,4.697122097,21.8,51.16815168,80.7,50,8304480742,2.315063329,13.25178322,3.54733,41.1,5.246806707,7.13471,0
3187,Adgonos,"Hong Kong SAR, China",2018,0,0,0,0,0,0.8,2.9,1,0,0,0,4,44,0,0,18.65,1.9,0,2.22614,85,3.326519966,76.92223358,6500,0,0.8634,64.65259172,5.01149416,0,219.9321686,1055.932,1,1,48542.68187,0.546971,57.3908,5.077777863,4.342450619,17.5,0,100,90,97036255479,26.82845724,0.05,0,0,5.705542134,0,1
3188,Aeternum,Slovak Republic,0,0,0,0,0,0,0,2.9,0,0,1,0,10,409,1,0,68.3,0.6173107,91.3,0.8082806,75.445,3.975830078,45.36722946,12101,0.836290002,0.83806,10.63636485,3.800237417,5321.6,62.02320684,5.313742,1,0,19380.51351,3.07756,86.68282,4.689498425,3.332849503,9.1,18.58372304,84.9,70,2250850832,2.134020645,3.575563073,5.68961,25,4.454569745,3.949,0
3189,AIGO - Crypto Payment Solutions,Indonesia,0,0,0,0,0,0,0.5,2.5,1,0,0,0,15,9,0,1,37.8,0.7,51.8,-0.1469696,68.184,3,36.31103897,294820,0.050170001,0.22633,8.212824218,4.412192345,26947.57,38.80544967,46.70241,0,0,3893.859578,2.29208,24.84837,4.491299152,3.822782755,18.1,38.59531784,89.4,60,18909826044,1.814289797,11.73045987,3.29048,37.8,4.402691473,8.25906,0
3190,AIREXE,Cambodia,0,0.006,0,0.004,0.002,19436,0.85,2.9,0,0,0,0,10,42,0,0,33.6,1.1,60.3,-0.5016222,53.7971,2.162859917,13.68776035,14960,0.08704,0.11823,1.409278877,2.907572985,145.74,99.57414396,0,0,0,1512.126989,1.98962,32.83603,3.838919163,2.870807886,19.4,18.48693474,92.1,50,3212633447,13.07449807,2.338584383,4.512,0,4.238718044,9.73672,0
